Custom.1,A,B,C,D
1. Frozen meat should be stored at:,A. 0°C to 5°C,B. -18°C or below,C. 10°C,D. 15°C
2. Raw meat must be stored:,A. Above cooked food,B. Beside vegetables,C. On lowest shelf separated,D. Anywhere
3. Safe internal temperature for poultry:,A. 50°C,B. 60°C,C. 75°C,D. 40°C
5. FIFO means:,A. Fast In Fast Out,B. First In First Out,C. Fresh In Fresh Out,D. Food In Food Out
6. Proper thawing method is:,A. Room temp,B. Under sun,C. Inside chiller,D. Hot water
7. Best knife for chopping vegetables:,A. Bread knife,B. Chef’s knife,C. Boning knife,D. Fillet knife
8. Oil fire should be extinguished using:,A. Water,B. Fire blanket/CO2,C. Air,D. Cloth
9. When receiving provisions check:,A. Quantity only,B. Expiry only,"C. Quality, quantity & expiry",D. Nothing
11. Cross contamination occurs when:,A. Food is cooked,B. Raw contacts cooked food,C. Food frozen,D. Food boiled
12. Galley floors must be:,A. Wet,B. Oily,C. Clean and dry,D. Ignored
13. Vegetable storage temperature:,A. 0–5°C,B. -18°C,C. 20°C,D. 30°C
14. Garbage must be:,A. Thrown overboard anytime,B. Burned always,C. Segregated & recorded,D. Mixed together
15. Messman duty includes:,A. Navigation,B. Engine repair,C. Assisting cook & cleaning,D. Cargo loading
17. Food poisoning symptoms should be reported to:,A. Crew only,B. Captain/Officer,C. Nobody,D. Passengers
18. Chilled storage temperature is:,A. -18°C,B. 0–5°C,C. 10–15°C,D. 25°C
19. Menu planning should consider:,A. Cost only,B. Crew nationality & nutrition,C. Same daily menu,D. Random food
20. Expired goods should be:,A. Cooked,B. Mixed,C. Disposed properly,D. Hidden
21. PPE in galley includes:,A. Slippers,B. Apron & gloves,C. Necklace,D. Sandals
23. Food thermometer is used to:,A. Check color,B. Check taste,C. Check internal temperature,D. Check smell
24. Proper egg storage is:,A. Room temp,B. Freezer,C. Chiller,D. Under sun
25. Cleaning chemicals must be stored:,A. With food,B. Separate from food,C. Inside freezer,D. In oven
26. Knife safety means:,A. Leave anywhere,B. Wash and store properly,C. Put in sink,D. Hide
"27. During drill, cook must:",A. Continue cooking,B. Follow muster station,C. Sleep,D. Ignore alarm
29. Moldy bread should be:,A. Cut mold part,B. Toasted,C. Discarded,D. Served
30. Inventory must be checked:,A. Rarely,B. Weekly,C. Regularly,D. Never
31. Cutting board color coding prevents:,A. Cooking,B. Cross contamination,C. Spoilage,D. Fire
32. First aid for minor burn:,A. Ice directly,B. Cool running water,C. Oil,D. Ignore
33. Galley ventilation prevents:,A. Cooking,B. Smoke buildup,C. Storage,D. Spoilage
35. Pest control onboard requires:,A. Leaving food open,B. Proper storage & cleaning,C. Ignoring,D. Wet floor
36. Safe food reheating temperature:,A. 40°C,B. 50°C,C. 75°C,D. 20°C
37. Uniform must be changed:,A. Monthly,B. When dirty,C. Never,D. Yearly
38. Reporting shortage of supplies to:,A. Nobody,B. Chief Cook/Captain,C. Crew only,D. Supplier
39. Proper waste segregation follows:,A. MARPOL,B. Random rule,C. Personal rule,D. None
40. Professional behavior means:,A. Arguing,B. Ignoring feedback,C. Respecting crew & officers,D. Complaining
