ques,A,B,C,D,E,Ans,
"A class ""D"" fire involves what type of material?",A Liquids,B Gases,C Metals,D Wood or other carbonaceous material,Don't know,C,
How many hand held distress flares are carried in each lifeboat?,A 4,B 2,C 12,D 6,Don't know,A,
"If you have to carry out hot work close to a smoke detector in the engine room, what precautions should be taken?",A Disconnect the smoke detector.,B Notify deck officer in charge that a fire alarm may occur.,"C Notify Master, Deck officer and engineer in charge. The loop for this special sensor to be switched off and take normal precautions for hot work.",D No special precautions except for having a watch man and a fire extinguisher available.,Don't know,C,
In which way may intake of poisonous material occur?,A Skin penetration and skin absorption.,B Swallowing.,C All mentioned.,D By inhalation.,Don't know,C,
Question: Apart from steering the helmsman should also:,A Regularly check the gyro against the magnetic compass,B Check the visibility,C Regularly check the speed,D Keep a good lookout,Don't know,D,
"Question: During restricted visibility you are posted, as lookout, on the bridge and you hear 1 prolonged blast at intervals of no more than 2 minutes on your port bow. What will you report to the OOW (officer on watch)?",A A vessel at anchor on port bow,B Power-driven vessel making no way on port bow,C A vessel aground on port bow,D Power-driven vessel making way on port bow,Don't know,D,
Question: How many 'thermal protective aids' are required to be carried on vessels with open lifeboats?,A 10 in each lifeboat,B One for each person on board who is not provided with an immersion suit,C Each lifeboat should carry the same number of thermal protective aids as the number of persons it is designed to carry,"D They are not required, providing the boat has a canvas canopy which can be rigged in cold weather",Don't know,B,
Question: How to increase the effectiveness of the lookout?,A The lookout to be posted on the forecastle-head,B To move position frequently to obtain a clear view of the surrounding sea,C The lookout to be equipped with binoculars for early identification,D To be briefed about what to expect and when ships and lights should be detected,Don't know,B,
"Question: How will you act if you are helmsman and after making a turn to port you receive the order: ""Steady as she goes""",A Give counter rudder to stop her and keep the course,B Read off the compass and keep her steady on the course,C Put the rudder all the way to starboard to stop the turn,D Put the rudder midship and wait until she stops,Don't know,A,
Question: If you are to use a newly installed mechanical pilot hoist arrangement to pick up a pilot:,A It is necessary to keep any sort of ladder ready on deck next to the pilot hoist.,B It is necessary to keep a pilot ladder rolled and ready on deck adjacent to the pilot hoist.,"C It is necessary to have a pilot ladder rigged and reaching from deck to the waterline, next to the pilot hoist.",D It is not necessary to have any backup ladder ready.,Don't know,B,
"Question: On the figure 4 possible definitions of the term ""ABEAM"" are shown. Which one is the correct one?",A. Abeam is defined as B on the figure,B. Abeam is defined as A on the figure,C. Abeam is defined as C on the figure,D. Abeam is defined as D on the figure,Don't know,B,
"Question: On the figure 4 possible definitions of the term ""AIR DRAUGHT""(Height) are given. Which one is the correct one?",A. Air draught is given by A on the figure,B. Air draught is given by D on the figure,C. Air draught is given by C on the figure,D. Air draught is given by B on the figure,Don't know,D,
"Question: On the figure 4 possible definitions of the term ""BOLLARD"" are given. Which one is the correct one?",A. Bollard is given by A on the figure,B. Bollard is given by B on the figure,C. Bollard is given by D on the figure,D. Bollard is given by C on the figure,Don't know,B,
"Question: On the figure 4 possible definitions of the term ""QUAY"" are given. Which one is the correct one?",A. Quay is given by D on the figure,B. Quay is given by B on the figure,C. Quay is given by A on the figure,D. Quay is given by C on the figure,Don't know,A,
"Question: On the figure 4 possible definitions of the term ""STARBOARD BOW"" are given. Which one is the correct one?",A. Starboard bow is given by D on the figure,B. Starboard bow is given by B on the figure,C. Starboard bow is given by A on the figure,D. Starboard bow is given by C on the figure,Don't know,B,
"Question: On the figure 4 possible definitions of the term ""TUG TOWING LINE"" are given. Which one is the correct one?",A. Tug towing line is given by D on the figure,B. Tug towing line is given by A on the figure,C. Tug towing line is given by C on the figure,D. Tug towing line is given by B on the figure,Don't know,A,
Question: The ship is at anchorage. What is important to rise forward in daylight?,A A special anchor flag.,B Anchor ball.,C No particular.,D The company flag,Don't know,B,
Question: What advantages does the eye have over the radar?,A Can identify small targets,B Can penetrate fog,C Does not get tiered,D Is prone to interference,Don't know,A,
Question: What advantages does the radar have over the eye?,A Degradation through glare,B Subject to night adaptation,C Poor at assessing distance,D Simplifies the overview,Don't know,D,
Question: What are the quickest and most certain way of keeping a look out in clear weather?,A Take a visual search of the sea around the ship,B Monitor the radar and refer to the chart,C If the lookout is encouraged to use the radar,D By use of vigilant lookouts,Don't know,D,
"Question: What class of fire is a smouldering fire of wood, textiles, paper and other carbonaceous materials?",A Class A,B Class B,C Class C,D Class D,Don't know,D,
Question: What do you call the plan on board dealing with the distribution of the crew and their duties at fire fighting?,A Alarm instruction,B Emergency instruction,C Safety plan,D Fire distribution plan.,Don't know,A,
Question: What does the abbreviation ABC mean in first aid?,"A Air, Breath, Concentration.","B Air, Burning, Critic.","C Abandon, Balance, Circulation.","D Air, Breathing, Circulation.",Don't know,A,
Question: What is a helmsman's duty?,A He is working like hell.,B He is steering the ship.,C He is watching the helmet.,D He is looking after the men.,Don't know,A,
Question: What is the correct definition of: -fair lead?,A. A remedy leading to fairway.,B. A remedy to close the holds.,C. Where the mooring lines lead.,D. A lead to test the bottom.,Don't know,D,
Question: What is the correct definition of: -gangway?,A. The way between two gangs.,B. A way to handle gangs.,C. A gangway to the waterline.,D. Portable bridge between ship and shore.,Don't know,B,
Question: What is the correct definition of: -let go?,A. Tight the slack in a rope.,B. Let the seafarers go ashore.,C. Cast off the rope.,D. Leave the ship.,Don't know,C,
Question: What is the main requirement of a lookout posted on the bridge?,A To detect new targets when they break the line of horizon,B To assess ship types,C To see changing weather patterns,D Good eyesight and able to communicate with the OOW (officer on watch),Don't know,D,
Question: What kind of special safety measures are required when working on a stage aloft?,A Harness with a rope secured to a safe point on the ship.,"B A rope around the waist, secured to the stage.",C No special safety measures required.,"D Helmet, safety shoes and gloves.",Don't know,C,
"Question: When a bulwark ladder is used for the pilot to step down onto the deck, such ladder shall have two stanchions provided, which are at least 40 mm in dia, between 70 and 80 cms apart, and at least 1.2 mtrs higher than the bulwark. Such stanchions shall be rigidly secured:",A At the deck level and near the bulwark top level.,B It does not matter where they are secured.,C At or near the bulwark top level.,D At the deck level.,Don't know,D,
"Question: When establishing primary contact between vessels, if English is the language agreed upon for working and a minor understanding difficulty arises, which book would you use to help overcome this:",A Standard Marine Navigational Vocabulary.,B Bridge Procedures Guide.,C Oxford Concise Dictionary.,D International Safety Guide for Tankers and Terminals.,Don't know,A,
"Question: When on duty, or working in a cargo deck stowed with containers and you want to have a cigarette, what do you do?",A Walk to a smoking area inside the accomodation?,B Carefully smoke outside the container stowage?,C Smoke close to an entrance?,D Just lit a cigarette?,Don't know,A,
Question: Why did they order another tug?,A. Because the ship was going to berth with port side to the terminal.,B. Because the mates always receive their instructions prior to berthing and they all felt that another tug was needed.,C. Because the bow thrust was useless in the strong wind.,D. Because they wanted to make sure that the ship could be safely turned.,Don't know,A,
Question: You are on a power driven vessel when you suddenly run into a fog bank. What action would you take?,A Stop engines and call Master,B As the radar is clear proceed as normal for the time being as the fog will probably lift,C Call the Master and wait for him to arrive before taking any action if it appears to be all clear,"D Commence sounding the fog signal, engines on standby, call for lookout, call Master",Don't know,D,
The ABC-rules are an important part of the First Aiders know how. What does the First Aid ABC-rules stands for?,A Anything But Continuation,B A Better Control,C Airway Breathing Circulation,D Adults Behind Children,Don't know,D,
"To maintain a fire, three conditions need to be met: Oxygen, combustible material and sufficient temperature for combustion. What subject must be removed to extinguish the fire?",A Combustible material.,B Either of the mentioned alternatives.,"C Heat, Oxygen and combustible material.",D Oxygen.,Don't know,C,
What class of fire involves gas?,A Class C fire,B Class B fire,C Class D fire,D Class A fire,Don't know,B,
"What has to be done before the central gas extinguishing system is used on a fire in engine rooms, cargo holds or other confined spaces?",A Make sure that the compartment has been evacuated,B Stop all engines,C Close down boilers,D All openings to the compartment must be closed,Don't know,D,
What is the meaning of this symbol ?,A Fasten seat belts,B Secure hatches,C Start air supply,D Release falls,Don't know,D,
What is the meaning of this symbol?,A Lifebuoy with line,B Lifebuoy with light and smoke,C Lifebuoy with light,D Lifejacket,Don't know,C,
What shall you do if you see a person falling into the sea?,A Launch a lifeboat.,B Throw a lifebuoy over board and report to the bridge immediately.,C Put on a lifejacket.,D Run aft.,Don't know,B,
What will you serve seafarers who has been exposed to cold?,A Pork and fat fish.,"B Brandy, whiskey or other strong drinks.",C Warm nutritious drinks.,D Fruit and vegetables only.,Don't know,C,
Which activity will have the greatest fire-fighting effect in case of a fire?,A Extinguishing attempt is started immediately,B Call the Chief Officer,C All possible fire-fighting equipment is brought to the scene,D All fire-fighting teams are organized as soon as possible,Don't know,B,
Which of the following are frequent causes of fires in accommodation?,A Overloading electric plugs,B Covering of electric fires with blankets,C 1 Smoking in bed. 2 Covering of electric fires with blankets. 3 Overloading electric plugs.,D Smoking in bed,Don't know,C,
Which one of the listed fire-extinguishing medium is most effective against an open oil fire?,A Foam.,B Powder.,C Water.,D Gas.,Don't know,A,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
